date,startup,vertical,subvertical,city,investors,round,amount,Remarks,month
2017-02-09,Voonik,ECommerce,Women Apparel & Lifestyle etailer,Bangalore,"RB Investments, Sequoia Capital",Private Equity,54.96,,2.0
2017-02-09,1Crowd,Finance,Startup Crowd-funding platform,Mumbai,Ganesh Natarajan,Seed Funding,0.0,,2.0
2017-02-09,Wooplr,ECommerce,Women Fashion Portal,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,73.28,,2.0
2017-02-10,48East,ECommerce,Online Food Delivery Platform,Bangalore,Al Dhaheri family,Private Equity,4.58,,2.0
2017-02-10,Redesyn,Consumer Internet,Tech Enabler for Artists,Mumbai,ThinQbate,Seed Funding,0.0,,2.0
2017-01-02,TaxSutra,Consumer Internet,Online Tax Filing platform,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,3.3525599999999995,,1.0
2017-01-03,TempoGo,Technology,IoT & SAAS Solutions for Transportation Industry,Panaji,K2 Capital,Seed Funding,7.557,,1.0
2017-01-03,GoFynd,ecommerce,Fashion ecommerce portal,Mumbai,"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma",Seed Funding,0.0,,1.0
2017-01-03,Vow Car Clinic,Consumer Internet,Online/App Based Car cleaning service provider,Gurgaon,Vishal Malik,Seed Funding,0.0,,1.0
2017-01-04,LearnTron,Technology,Blended Learning Delivery App for Schools & Corporates,Chennai,Kae Capital,Seed Funding,0.0,,1.0
2017-01-05,MobiDent,Consumer Internet,Dentist Appointments booking platform,Bangalore,DanGold Investment Corp,Private Equity,0.0,,1.0
2017-01-05,Yostra,Technology,Healthcare Technology Solutions,Bangalore,"Marico Innovation Foundation (MIF), Villgro",Private Equity,0.0,,1.0
2017-01-06,Leap India,Logistics,Supply Chain Solutions Provider,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,119.08,,1.0
2017-01-07,FreeCharge,Consumer Internet,Mobile Wallet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,522.12,,1.0
2017-01-09,TicketNew,Consumer Internet,Movie Ticket Booking platform,Chennai,Alibaba Pictures,Private Equity,320.6,,1.0
2017-01-10,Intelligence Node,Technology,SAAS Based Retail Analytics Solutions,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,7.328,,1.0
2017-01-10,Securens,Technology,e-surveillance services provider,Mumbai,"Mayfield India, Trifecta Capital",Private Equity,45.8,,1.0
2017-01-10,Loan Frame,Consumer Internet,Small Business Loans Marketplace platform,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,20.61,,1.0
2017-01-10,DriveSkool,Consumer Internet,online marketplace for driving schools,Bangalore,Aavya Ventures,Seed Funding,0.0,,1.0
2017-01-10,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,0.916,,1.0
2017-01-10,LensKart,eCommerce,Online eyewear retailer,Bangalore,Ronnie Screwvala,Private Equity,32.06,,1.0
2017-01-11,InstaOffice,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Zishaan Hayath, Karan Chellani, Mohit Satyan",Seed Funding,0.0,,1.0
2017-01-12,Hansel.io,Consumer Internet,Real-time Mobile App Management Platform,Bangalore,"IDG Ventures, Endiya Partners",Private Equity,12.365999999999998,,1.0
2017-01-12,Square Yards,Consumer Internet,Property Search Aggregator platform,Gurgaon,"Lohia Group, Andre Hoffman",Private Equity,91.6,,1.0
2017-01-02,99Games,Technology,Mobile Game Developer Studio,Udupi,Dream Incubator,Seed Funding,0.0,,1.0
2016-12-01,SidQam,Technology,Healthcare Software System,Noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,10.992,,12.0
2016-12-01,India Lends,Consumer Internet,Online Instant personal Loan provider,New Delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,36.64,,12.0
2016-12-01,Slide App,Consumer Internet,Lock screen Rewards mobile app,New Delhi,Songhyun Investment,Private Equity,32.976,,12.0
2016-12-02,Badiyajobs,Consumer Internet,Entry-Level job Seekers platform,New Delhi,Undisclosed,Seed Funding,0.916,,12.0
2016-12-02,Streo,Consumer Internet,Live Music Streaming App,Bangalore,"GEMs Advisory, Quarizon",Seed Funding,0.0,,12.0
2016-12-02,TYGR,Technology,Transport and logistics mobile App,Mumbai,Franchise India,Private Equity,27.48,,12.0
2016-12-05,Mr Hot Foods,Consumer Internet,Online Food Ordering & Delivery Portal,Indore,IvyCamp Ventures,Seed Funding,0.0,,12.0
2016-12-05,UrDoorStep,eCommerce,Online Grocery Store,Bangalore,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,12.823999999999998,,12.0
2016-12-05,ONN Bikes,eCommerce,"On-demand, self-drive bike rental platform",Mumbai,Grace Capital Ventures,Seed Funding,0.0,,12.0
2016-12-06,Diro Labs,Consumer Internet,Mobile Contacts Management app,New Delhi,Info Edge (India),Seed Funding,1.34652,,12.0
2016-12-06,THB,Technology,Clinical research and data analytics,Gurgaon,"Ajith Sukumaran, Currae Healthtech Fund",Seed Funding,0.0,,12.0
2016-12-07,LookAtMe,Consumer Internet,Mobile App based Fashion Network,Singapore,Eros Labs,Seed Funding,0.0,,12.0
2016-12-07,Netree,eCommerce,Mobile-only Retailers Engagement Solution,New Delhi,"The Chennai Angels, LetsVenture",Seed Funding,0.0,,12.0
2016-12-07,BookEventz,Consumer Internet,"Venue, Events Booking platform",Mumbai,Investors from Mumbai Angels & LetsVenture,Seed Funding,0.0,,12.0
2016-12-07,Tailslife,Consumer Internet,Pet Parenting mobile app,Bangalore,"Mohan Kumar, V. Balakrishnan",Seed Funding,0.0,,12.0
2016-12-07,Revv,Consumer Internet,Self-Driven Car Services booking portal,New Delhi,Edelweiss Private Equity,Private Equity,82.44,,12.0
2016-12-07,WealthApp,Consumer Internet,Online Investment Advisory platform,Bangalore,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,\\xc2\\xa0 Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,4.0304,,12.0
2016-12-07,Vehico,Technology,Connected Transportation solutions,Bangalore,"Calcutta Angel Network, Appliyifi",Seed Funding,0.0,,12.0
2016-12-08,Zest Money,Consumer Internet,Online Consumer Lending platform,Mumbai,PayU,Private Equity,59.54,,12.0
2016-12-08,GoMechanic,Consumer Internet,Online Car servicing Booking platform,Gurgaon,Venture Catalysts,Seed Funding,2.29,,12.0
2016-12-09,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,Kalaari Capital,Private Equity,54.96,,12.0
2016-12-09,Nykaa,eCommerce,Beauty Products etailer,Mumbai,Max Ventures and Industries,Private Equity,0.0,,12.0
2016-12-09,Wittyparot,Technology,Content Management & Productivity platform,Bangalore,Mumbai Angels,Seed Funding,4.122,,12.0
2016-12-09,NeuroEquilibrium,Technology,Health-Tech platform,Jaipur,Unicorn India Ventures,Seed Funding,2.29,,12.0
2016-12-12,Xseed Education,Technology,Education & learning Tech platform,Bangalore,Verlinvest SA,Private Equity,91.6,,12.0
2016-12-12,Rupaiya Exchange,Consumer Internet,P2P Lending platform,New Delhi,Undisclosed Investors,Seed Funding,1.832,,12.0
2016-12-12,Doctor Insta,Consumer Internet,Online Doctor Consulting platform,Gurgaon,RoundGlass Partners,Private Equity,18.32,,12.0
2016-12-12,UrbanPiper,Consumer Internet,Self-Branded Websites & Apps for Ecommerce,Bangalore,"Axilor, undisclosed investors",Seed Funding,0.0,,12.0
2016-12-12,Fresh Food Concepts,Food & Beverage,Cold Press Juice manufacturer & seller,New Delhi,"Siddhartha Gupta, Ashvin Chadha",Seed Funding,18.32,,12.0
2016-11-01,PickMyLaundry,Consumer Internet,On-Demand Washing & Dry Cleaning Services,New Delhi,"Kedar Lele, GHV Accelerator",Seed Funding,1.832,,11.0
2016-11-02,FreshDesk,Consumer Internet,SAAS Based HelpDesk Services,Chennai,"Sequoia Capital India, Accel Partners",Private Equity,503.8,,11.0
2016-11-02,LaundryAnna,Consumer Internet,On-Demand Washing & Dry Cleaning Services,Bangalore,Undisclosed Investors,Seed Funding,1.374,,11.0
2016-11-02,LetsMD,Consumer Internet,Healthcare Services Comparison Platform,New Delhi,"Calcutta Angels Network, LetsVenture, Anupam Mittal, Currae Healthtech Fund",Seed Funding,0.0,,11.0
2016-11-02,Sattviko,Food & Beverage,Health Food Restaurant Chain,New Delhi,"Raman Roy, Ashish Gupta, Yogesh Andlay, Vaibhav Jain",Seed Funding,0.0,,11.0
2016-11-03,Zarget,Technology,SaaS-based web optimisation and marketing platform,Chennai,Sequoia India,Private Equity,54.96,,11.0
2016-11-03,DoSelect,Consumer Internet,Skill Showcasing platform,Bangalore,"3one4 Capital, Mumbai Angels, Aarin Capital",Seed Funding,0.0,,11.0
2016-11-03,EasyPolicy,Consumer Internet,Online insurance Portal,Noida,"Unilazer Ventures,",Private Equity,91.6,,11.0
2016-11-04,Browntape,Technology,cloud-based software solutions company,Goa,Gati Ltd,Private Equity,0.0,,11.0
2016-11-04,Connect India,Logistics,Last mile Delivery Network,Bangalore,Aavishkaar Venture Management,Private Equity,9.16,,11.0
2016-11-04,Corseco,Technology,AI-based Software as a Service Solution provider,New Delhi,"Ameera Shah, Vivek Bhargava",Seed Funding,1.374,,11.0
2016-11-04,vImmune,Consumer Internet,Immunisation Management Platform,Bangalore,Undisclosed investor,Seed Funding,0.0,,11.0
2016-11-04,The Gourmet Jar,eCommerce,Gourmet Food etailer,Noida,Chandigarh Angels Network,Seed Funding,0.0,,11.0
2016-11-05,Medzin,eCommerce,Online ordering & Delivery of medicines,New Delhi,A M Sikander,Seed Funding,0.41219999999999996,,11.0
2016-11-05,Bizongo,eCommerce,Packaging Material Marketplace,Mumbai,"IDG Ventures, Accel Partners",Private Equity,27.48,,11.0
2016-11-07,Rivigo,Technology,Technology based Logistics platform,Gurgaon,Warburg Pincus,Private Equity,687.0,,11.0
2016-11-07,JustRide,Consumer Internet,Online Car Sharing platform,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,27.48,,11.0
2016-11-09,IIM Jobs,Consumer Internet,Online Job Portal,New Delhi,India Quotient,Private Equity,18.32,,11.0
2016-11-09,Square Yards,Consumer Internet,Online Property Search Portal,Gurgaon,ADAG Reliance Private Equity,Private Equity,109.92,,11.0
2016-11-10,GolfLAN,Consumer Internet,Golf Session Online Bookings platform,New Delhi,"YourNest Angel Fund, iSON",Private Equity,9.16,,11.0
2016-11-10,Yottaasys,Technology,Data Sciences platform,Bangalore,Gleevoaz Ventures,Private Equity,0.0,,11.0
2016-11-10,Tone Tag,Technology,Contactless Payment Solution,Bangalore,"Arun Seth, T.V. Mohandas Pai, Anand Chandrasekaran, Deepak Ghaisas",Private Equity,0.0,,11.0
2016-11-11,Life in Control,Consumer Internet,Online Diabetes Management platform,Gurgaon,RoundGlass Partners,Private Equity,0.0,,11.0
2016-10-03,MeraKisan,eCommerce,Fruit & vegetable eTailer,Bangalore,Mahindra Univeg,Seed Funding,0.0,,10.0
2016-10-03,Mystifly,Consumer Internet,Airline Ticket Aggregator,Bangalore,Recruit Holdings,Private Equity,45.8,,10.0
2016-10-03,HelpChat,Consumer Internet,AI Powered Content & Commerce platform,Bangalore,"American Express Ventures, Sequoia Capital",Private Equity,0.0,,10.0
2016-10-03,Uniphore,Technology,Speech Recognition Solutions,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,18.32,,10.0
2016-10-03,World Art Community,eCommerce,Art & Craft Marketplace,Gurgaon,Viraj Tyagi & Others,Seed Funding,1.832,,10.0
2016-10-04,Giftxoxo,eCommerce,Online Gifting platform,Bangalore,Mahindra Holidays & Resorts India Ltd,Private Equity,4.122,,10.0
2016-10-04,Bharat Bazaar,eCommerce,Online B2B Marketplace,Mumbai,"BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon",Seed Funding,0.0,,10.0
2016-10-04,GOQii,Consumer Internet,Health & Fitness Wearable Device,Mumbai,Ratan Tata,Private Equity,0.0,,10.0
2016-10-04,India Gifts Portal,eCommerce,Online Gifting platform,Noida,"Naveen Arya, Tarun Joshi",Private Equity,18.32,,10.0
2016-10-04,Moglix,eCommerce,Industrial & Home products marketplace,Noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,38.472,,10.0
2016-10-04,NetLinx,Consumer Internet,Internet Service Provider,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,27.48,,10.0
2016-10-04,Scandid,Consumer Internet,Product Shopping Comparison App,Pune,3One4 Capital,Private Equity,0.0,,10.0
2016-10-04,Remitr,Consumer Internet,Foreign Currency Payments Platform,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,9.16,,10.0
2016-10-04,InnerChef,Consumer Internet,Online food ordering platform,Gurgaon,"Mistletoe, M&S Partners",Private Equity,22.9,,10.0
2016-10-04,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,34.35,,10.0
2016-10-05,MuhurtMaza,Consumer Internet,Online Puja Booking Service,Pune,Undisclosed Investor,Seed Funding,0.0,,10.0
2016-10-05,Azuro,Consumer Internet,Rental Property Finder platform,Mumbai,"White Unicorn Ventures, Kae Capital, Mumbai Angels",Private Equity,0.0,,10.0
2016-10-05,NeuroSynaptic,Technology,Remote Healthcare Delivery Solutions,Bangalore,"Indian Angel Network, Healthsquad, Axilor Ventures",Private Equity,0.0,,10.0
2016-10-05,UE LifeSciences,Technology,Mobile Health Technology Solutions,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,10.992,,10.0
2016-10-06,FindmeaShoe,Consumer Internet,Footwear Recommendation App,Bangalore,Ventureast Fund Advisors,Seed Funding,0.0,,10.0
2016-10-06,RealBox,Technology,Data Sciences Platform,Noida,Hyderabad Angels,Seed Funding,2.748,,10.0
2016-10-06,Sportido,Consumer Internet,Sports Discovery platform,Noida,Sumpoorna Group,Seed Funding,0.0,,10.0
2016-10-06,GoZefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,"Helion Venture Partners, BeeNext",Private Equity,9.618,,10.0
2016-10-07,RayIOT,Technology,Baby Monitoring Devices manufacturer,Bangalore,HAX Accelerator,Seed Funding,0.916,,10.0
2016-10-07,KOOH Sports,Technology,Sports Training & Technology,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,20.152,,10.0
2016-10-07,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,137.4,,10.0
2016-10-07,Sibia Analytics,Technology,Marketing & Customer Analytics Solutions,Kolkata,Radhakrishnan Natarajan & Others,Seed Funding,0.0,,10.0
2016-10-10,Vithi.com,eCommerce,Online Hair Extension etailer,New Delhi,undisclosed investor,Seed Funding,3.435,,10.0
2016-10-11,Yupp TV,Consumer Internet,Internet-based TV streaming service provider,Bangalore,Emerald Media,Private Equity,458.0,,10.0
2016-10-11,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,4.58,,10.0
2016-10-12,ZipLoan,Consumer Internet,online lending platform,New Delhi,"GrowX Ventures, Sunil Kalra, Arun Venkatachalam,\\xc2\\xa0 Badal Malick",Seed Funding,0.0,,10.0
2016-09-01,Mad Street Den,Technology,Artificial Intelligence platform,Chennai,"Sequoia India, Exfinity Ventures, growX ventures,",Private Equity,0.0,,9.0
2016-09-01,Mihup,Technology,Personal Digital Assistant,Kolkata,Accel Partners,Private Equity,61.372,,9.0
2016-09-01,Renowala,eCommerce,Home Improvement Marketplace,Hyderabad,Pradeep Dhobale,Seed Funding,0.0,,9.0
2016-09-01,Lucideus,Technology,IT Risk Assessment and Digital Security Services provider.,New Delhi,Amit Choudhary,Seed Funding,0.0,,9.0
2016-09-04,Trackbizz,Technology,Field Force Automation System,Kochi,Grasshoppers,Private Equity,0.0,,9.0
2016-09-05,Social Quotient,Technology,Platform for Social Causes,Mumbai,"Anita Dongre, Yash Dongre, Milind Sarwate",Seed Funding,0.0,,9.0
2016-09-05,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,William Bissel,Seed Funding,0.0,,9.0
2016-09-06,eShakti,eCommerce,Women\xe2\x80\x99s Fashion Apparel eTailer,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,12.365999999999998,,9.0
2016-09-06,CheersOye!,Consumer Internet,Online Gift Vouchers platform,Mumbai,Undisclosed Investors,Seed Funding,4.58,,9.0
2016-09-06,Lenskart,eCommerce,Online Eyewear eTailer,New Delhi,PremjiInvest,Private Equity,0.0,,9.0
2016-09-06,BigStylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Mumbai,Info Edge (India) Ltd,Private Equity,8.244,,9.0
2016-09-07,Zilingo,eCommerce,Online Fashion Retailer,Bangalore/ Bangkok,"Venturra Capital, Sequoia India, Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,73.28,,9.0
2016-09-07,Alternacare,Consumer Internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed Funding,4.58,,9.0
2016-09-07,Simplilearn,Education,Online Certification programs,Bangalore,InnoVen Capital India,Private Equity,54.96,,9.0
2016-09-07,Prozo,eCommerce,Study Material Marketplace,Gurgaon,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,2.8854,,9.0
2016-09-08,TopRankers,Education,Online Test Preparation platform,Bangalore,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,6.137199999999999,,9.0
2016-09-08,BuildTraders,eCommerce,Online Construction Materials Marketplace,Bangalore,Idein Ventures,Seed Funding,1.832,,9.0
2016-09-09,Byju\\xe2\\x80\\x99s,Education,Online Learning App,Bangalore,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,458.0,,9.0
2016-09-09,NoBroker,Consumer Internet,Online Home Rental platform,Bangalore,Anand Chandrasekaran,Seed Funding,0.0,,9.0
2016-09-10,Freshboxx,eCommerce,Fruits & vegetable eTailer,Hubli,Ravi Linganuri,Seed Funding,0.0,,9.0
2016-09-10,CureInstant,Consumer Internet,Social Health Networking Platform,New Delhi,Dr. Rameshwar Kumar,Seed Funding,1.374,,9.0
2016-09-10,Poshtic,Consumer Internet,Online health & Wellness platform,Noida,"havya Sharma, Amit Nagar",Seed Funding,4.122,,9.0
2016-09-10,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,New Delhi,"Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni",Seed Funding,0.0,,9.0
2016-09-12,Purple Style Labs,Consumer Internet,Personal Styling Online platform,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,4.10368,,9.0
2016-09-12,Inuxu,Technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,27.48,,9.0
2016-09-12,Nykaa,eCommerce,Online Beauty products eTailer,Mumbai,"Sunil Munjal, Mariwala family",Private Equity,112.668,,9.0
2016-09-12,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,2.748,,9.0
2016-08-01,HealthKart,eCommerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,109.92,,8.0
2016-08-01,Medinfi,Consumer Internet,Doctor & Clinic\\xc2\\xa0 Discovery Platform,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,1.832,,8.0
2016-08-01,RepairEasy,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding,2.519,,8.0
2016-08-01,Voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,InnoVen Capital,Private Equity,27.48,,8.0
2016-08-01,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,22.9,,8.0
2016-08-02,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,16.488,,8.0
2016-08-02,Daily Ninja,Consumer Internet,Hyperlocal daily needs Products delivery platform,Bangalore,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,0.0,,8.0
2016-08-02,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,9.16,,8.0
2016-08-03,Xcode,Healthcare,Personal Genomics,Chennai,RoundGlass Partners,Private Equity,0.0,,8.0
2016-08-03,ExtraCarbon,Consumer Internet,Waste Recycle Management platform,Gurgaon,Brand Capital,Seed Funding,2.061,,8.0
2016-08-03,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,8.1524,,8.0
2016-08-04,Petoo,Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding,4.58,,8.0
2016-08-04,lehlehsports,Others,Sports Arena discovery,New Delhi,Anglian Omega Network,Seed Funding,0.0,,8.0
2016-08-05,Tricog,Healthcare,Healthcare Analytics Platform,Bangalore,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,0.0,,8.0
2016-08-06,VST Travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,0.24732,,8.0
2016-08-08,AdPushUp,Technology,Ad optimization Platform,New Delhi,"Geniee, Inc, Purvi Capital",Private Equity,0.0,,8.0
2016-08-08,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,0.3664,,8.0
2016-08-08,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed Funding,4.0762,,8.0
2016-08-08,Zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Funding,1.832,,8.0
2016-08-09,MobiDent,Healthcare,Dental Protection Solution,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0.0,,8.0
2016-08-09,Zeolr/RespirON,Technology,Healthcare related IoT platform,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0.0,,8.0
2016-08-10,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,4.58,,8.0
2016-08-10,Bombay Shaving Company,eCommerce,Men\\xe2\\x80\\x99s Grooming Product etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,5.496,,8.0
2016-08-11,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,64.12,,8.0
2016-08-11,91SpringBoard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,0.0,,8.0
2016-08-11,Genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding,1.91444,,8.0
2016-08-11,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,137.4,,8.0
2016-08-12,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,13.74,,8.0
2016-08-12,Faircent.com,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,13.74,,8.0
2016-08-12,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,142.896,,8.0
2016-08-12,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,4.58,,8.0
2016-08-12,Funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,0.0,,8.0
2016-07-01,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,0.0,,7.0
2016-07-01,DarwinBox,Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,0.0,,7.0
2016-07-01,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,4.58,,7.0
2016-07-01,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,0.0,,7.0
2016-07-02,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,6.411999999999999,,7.0
2016-07-04,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,0.0,,7.0
2016-07-04,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,137.4,,7.0
2016-07-04,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,1.832,,7.0
2016-07-04,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,18.32,,7.0
2016-07-04,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,0.0,,7.0
2016-07-04,NeoGrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,146.56,,7.0
2016-07-05,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,9.16,,7.0
2016-07-05,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,751.12,,7.0
2016-07-05,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,15.572,,7.0
2016-07-06,HappilyUnmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,6.7784,,7.0
2016-07-06,Don\\xe2\\x80\\x99t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,2.29,,7.0
2016-07-06,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,2.72052,,7.0
2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,18.32,,7.0
